Tweet,Correct Sentiment,Predicted Sentiment
SpeechTrans http://t.co/TW3SzX61 on @Apple App store listed as the #best bi-directional #Speech To Speech #Translator ---- Posts on Twitter,neutral,irrelevant
@apple Why don't you have a wireless remote for Keynote presentations w a MacBook Air?  Nobody wants to see the pith man navigate w a iPhone,neutral,irrelevant
"""3 principal global players will be active in every market...@Amazon",neutral,irrelevant
@Apple #RIPSteve RT @davepeck: Steve Jobs and the Seven Rules of Success http://t.co/4nLRLdWy,neutral,positive
"#wheniwas14... @Apple registered the domain name http://t.co/FPvKn1kJ, thus beginning their plan for world domination",neutral,irrelevant
Fregon el nuevo facebook para iPod/iPhone haha alomejor ya tiene rato pero yo lo acabo de actualizar @apple,neutral,irrelevant
"#Win an @Apple iPod Touch from @Mommy_gaga, get the @Pampers Hello World Baby Memories App! http://t.co/gIHYpzWO #PampersHelloApps",neutral,irrelevant
iPhone 4S First Weekend Sales Top Four Million: http://t.co/Dm4acTYv via @Apple themselves. Big sales for the new phone.,neutral,positive
@KaeKaed @Apple Here is an easy way to put Newsstand in a folder http://t.co/yVXmWIbI,neutral,positive
"@coatgal had a really interestng experience up in the @Apple store though, Paul was with me up there, faulty #iphone4 - but out of warranty",neutral,negative
Found out the hard way today that @webex does not work with @apple ios5 yet when you are following a link for a meeting..,neutral,neutral
Lol bet that Android couldnt do that  RT @ceejay3k: I promise this iPhone been at 1% battery for the last 3 hours. I see you @apple.,neutral,positive
RT @adamnash: The takeaway from the @Apple earnings call?  Even Apple needs a new iPhone release every 12 months to stay competitive. cc ...,neutral,positive
RT @DJTREBEL1: #fail i guess @apple didnt notify these clowns that the iPhone5 isnst out yet.... http://t.co/2yCDNt1B,neutral,irrelevant
Hey @Apple - need more servers for Siri traffic?  I'm sure Google can help you out with that...,neutral,irrelevant
"#Win an @Apple iPod Touch from @Mommy_gaga, get the @Pampers Hello World Baby Memories App! http://t.co/fnbKNwmj #PampersHelloApps Ends10/21",neutral,irrelevant
Waiting on line @Apple store at west 14th Street.,neutral,irrelevant
"@WIREDInsider beautiful, yes. though it simply reminds me of @apple's spinning wheel of death. clock, reinvented: http://t.co/tJcJAqfl",neutral,neutral
"@Apple iOS5 is all well and good and has nice new features, but I'm still waiting on an app that will go to work for me.",neutral,positive
Steve Jobs Biopic Coming Soon - @Apple #Apple #SteveJobs http://t.co/DxZBa5bG,neutral,irrelevant
Oops! Apparently @apple is some handle-squatter. Tweetbarassment.,neutral,irrelevant
@learmonth @Cue improves iMessage + engages @Apple content partners' customers better http://t.co/hhkvlwFB with social activity messaging,neutral,positive
@apple store #Towson waiting at Genius bar - huge crowd waiting for #iPhone 4s @michaelmark @nicolelil http://t.co/x92sweCh,neutral,positive
RT @ajrogers Purdie Rogers tribute to #SteveJobs and @apple. We spray painted the Macintosh Plus w.. http://t.co/oMXjhZh0,neutral,irrelevant
Using @Apple's mobile @AirPort Utility http://t.co/TiDpaHYC,neutral,irrelevant
My friend @bm88 found this article on the #ios5 battery drain problem http://t.co/zMX85Fkd @apple,neutral,negative
IHS: iPhone 4S shows key design and component changes. http://t.co/6tfiGiDV  @apple #apple #iphome4S #ios5,neutral,irrelevant
"""#Win an @Apple iPod Touch from @Mommy_gaga",neutral,irrelevant
YESSS @apple fix it also slow internet RT @SprintFeed: iPhone 4S owners are you having trouble with Siri connecting to internet?,neutral,negative
@Apple sells 4 million on the first weekend. @Samsung sold over 30 million Galaxy S II phones globally.,neutral,irrelevant
"Win an @Apple iPod Touch from @Mommy_gaga, get the @Pampers Hello World Baby Memories App! http://t.co/2XJZaLCs #PampersHelloApps",neutral,positive
"dear @apple please invent ""FaceTime Voicemails."""" sincerely",neutral,positive
@Apple needs to take down the Steve Jobs tribute and get back to promoting the brand - put the Cloud on the front page and start explaining,neutral,negative
OK @apple your accessories policy is out of hand. I need a powered line in to use the mic? Are you KIDDING ME?,neutral,irrelevant
This video brought a small tear to my eye http://t.co/3va2ninp. Watch to @SteveWoz opinion of #SteveJobs and @Apple,neutral,irrelevant
Iphone: Watch Siri &quot;Work&quot; On the Old iPhone 4 - @Gizmodo http://t.co/dGPWL0r0 @apple allow commands from iPhone 4. Stop playin!,neutral,irrelevant
"Gee, I can't imagine that the maps app graphic from this Samsung website will help their court cases vs. @Apple: http://t.co/PmanMoAh",neutral,irrelevant
The takeaway from the @Apple earnings call?  Even Apple needs a new iPhone release every 12 months to stay competitive. cc: @hblodget,neutral,positive
"@jackiestone1 yes! Tech peeps talk so much about algorithms, but tech should always tie back to people. @apple proves this #imediasummit",neutral,positive
RT @DailyDealChat: @bidmyway I like your app for the @apple iPhone very simple and easy to use!,neutral,positive
@bxlewi1 hey...do you know why @Apple hasn't added 4G support yet? Seems like an odd omission for such an advanced device.,neutral,positive
dear invisible intern/assistant: please go pick up my computer from the @apple hospital so i can upgrade to iOS5. thanks!,neutral,negative
"Hey @Apple, could you hook the voice memos app on the iPhone up with fine scrubbing? Journalists need love too.",neutral,positive
WOW DOGS!!nn@Apple w/Starr earlier - upstairs in the huge soho store and all of a sudden she sprung to attention... http://t.co/b2PLMYVD,neutral,positive
RT @TimjwDowning: #iOS 5  is a great system but it's taken all day to download @apple,neutral,positive
http://t.co/CvEKdOIQ line at @Apple northpark #dallas mall. #4GSiPhone,neutral,irrelevant
You need to ask #Siri her favorite color and the average speed of an unladen swallow. Seems Someone @apple is a Monty python fan,neutral,positive
I have 4 @Apple products...,neutral,irrelevant
@mcp111 @apple @AppStore Why are you asking us? Apple don't read messages on Twitter... and Apple aren't @Apple either,neutral,irrelevant
Lol and what do those look like? RT @TalkYo_ISH: Dear @Apple Can We Get Some Afro-American Emoticons? -Management,neutral,irrelevant
Video: SIRI also gets angry. http://t.co/tzigD99b  @chrisvoss @apple #apple #siri #iphone4S #Ai,neutral,negative
"#Win an @Apple iPod Touch from @Mommy_gaga, get the @Pampers Hello World Baby Memories App! http://t.co/8MaDmqPc #PampersHelloApps",neutral,irrelevant
Great Tech War of 2012 http://t.co/64jGRoBp @FastCompany profiles @Amazon @Apple @Google @Facebook on @CNBC /ht @philsimon,neutral,positive
iPhone 4S 8MP camera : Itu00b4s a SONY. http://t.co/BIqBEhTb @sony @apple #apple #iphone4S #cameras,neutral,irrelevant
@apple #siri http://t.co/k7b686hX,neutral,irrelevant
@rjpittman Why you won't use your @apple account.,neutral,irrelevant
U know the @apple company are giving out 500 iPads because Steve jobs past away,neutral,irrelevant
RT @iancollinsuk: Apple have just announced they sold 4 million phones this weekend. Incredible. That recession continues to bite @apple ...,neutral,neutral
Video: SIRI also gets angry. http://t.co/Ku288WX6  @chrisvoss @apple #apple #siri #iphone4S #Ai,neutral,negative
"Salesperson at #soho @Apple store ""it doesn't matter how many people are lined up out front. They're not gonna get one"""" #iphone4s""",neutral,irrelevant
"#Win an @Apple iPod Touch from @Mommy_gaga, get the @Pampers Hello World Baby Memories App! http://t.co/nDRpciY9 #PampersHelloApps",neutral,irrelevant
Can someone explain to me how the hell iMessage differs from a text message? @Apple,neutral,negative
#Steve #Jobs #Tribute iPhone 4S Cases Now Available #iphonecasesnhttp://t.co/2hyurIiqn#stevejobstributecasesn@ikaveri @iamsrk @apple,neutral,positive
RT @TalkYo_ISH: Dear @Apple Can We Get Some Afro-American Emoticons? -Management,neutral,irrelevant
POLL: http://t.co/GcrpUKwF Q:R U pissed @Apple banned this video? #Apple #iPhone4S #Siri #F8ball,neutral,irrelevant
"Big mo: In one week, @Apple #iCloud hits 20M users; 25M use #iOS 5 http://t.co/HTpUTBFK via @cnet",neutral,irrelevant
Cat accusing tiger for roaring  #Samsung on @Apple,neutral,negative
@apple So why is Siri only available on the iPhone 4S ?   - http://t.co/QZuNgyLW,neutral,positive
"no kidding u201c@thejabberwockey: Also @EricGreenspan, don't forget @Apple stop closing the app store after each bloody purchase...u201d",neutral,negative
"Siri is cool but more importantly handy and FUNNY. @Apple please configure it for Canada. What's with the racism, EH?",neutral,neutral
hmm it seems i should have checked the identity of @apple firstu2026,neutral,irrelevant
Video: SIRI also gets angry. http://t.co/ksX2XZoR  @chrisvoss @apple #apple #siri #iphone4S #Ai,neutral,negative
Why doesn't the Genius have songs for Watch the Throne yet? HUH? @APPLE ?????,neutral,positive
#opinion @Samsung need to be careful in @Apple patents issues - it looks a lot like you 'learned' a lot by making their chips!,neutral,neutral
Just realized Apple doesn't even have @Apple on lock. This dude R.J. Pittman waiting for thee fattest check.,neutral,irrelevant
@Apple why no Macbook mirroring onto AppleTV via #Airplay?,neutral,irrelevant
"New #iOS5 notification center is a big improvement, but @apple missed an easy trick by not making it fully available on lock screen.",neutral,positive
"I don't get it. Instead of @apple dropping the 16GB iPhone 4 down to $99, they release an 8GB one for $99???",neutral,irrelevant
Notes for Jobs @Apple store in Palo alto downtown. http://t.co/4BJjfq4h,neutral,irrelevant
"Stay young, stay foolish. But take ownership when u f*ck up, don't complain, and never give up. #resilience @apple",neutral,negative
@ireton Perhaps it's time for @Apple to come out with an app called iSuck that lets you know which apps are killing your battery life,neutral,negative
"@BeeeThree I am aye, I wasn't @apple",neutral,irrelevant
"Upgrading my #iPad to #iOS5. When @Apple said it could take a couple of hours to install and restore it, they weren't kidding.",neutral,irrelevant
Thanks @apple my girlfriend likes #siri more than me now.,neutral,positive
"Ok, so it was a lion and not a leopard. Too much upgrading this weekend. @apple",neutral,irrelevant
.RT @edatpost: .@Apple fan Eric Holder spotted at the Genius Store http://t.co/LCTPxHF5,neutral,positive
Why didn't @Apple merge the address and search bars in Safari ala Crome in iOS 5? #simplethings,neutral,irrelevant
Great post on the upcoming Great Tech Wars of 2012! @amazon @apple @google @facebook http://t.co/OSeqhT7W via @cbillich,neutral,positive
is it me or @blackberry is begging ppl not to go @apple #iphone http://t.co/X3gdBUyK,neutral,negative
"""#Win an @Apple iPod Touch from @Mommy_gaga",neutral,irrelevant
RT @FaithMcNally: @RhiannaRaee hanging @apple in tacoma listening to the beatles!,neutral,irrelevant
@apple please provide support for a Bangla keyboard in iOS. It would make the life of many Bengali iOS users easier! #iphone,neutral,positive
"Watching iGenius on @Discovery. Based on first 13 minutes, @Apple never should have gone public in 1980.",neutral,irrelevant
this reader button for safari is perfect for fic @apple #ios5 #stevejobsday,neutral,positive
"""3 principal global players will be active in every market...@Amazon",neutral,irrelevant
Hey @apple why is Siri not available for the Mac?,neutral,positive
@ATTCustomerCare @att @apple I already have an iPhone 4 with an ATT contract. Can I buy a factory UNLOCKED iPhone 4S with my contract?,neutral,irrelevant
The four American companies that have come to define 21st-century on the verge of war. @Amazon @Apple @Facebook and @Gu2026http://t.co/PxUlr5dw,neutral,irrelevant
@RealEstateGuyWI All about yesterday's @Apple upgrade. Helpful but maddening,neutral,neutral
@AsimRang @apple @umber well so far ive seen it for apps,neutral,positive
Smh at @ItsTheSituation for trying to cut in line for a 4S. Cmon mayne if @Apple's cofounder stood in line then you are too.,neutral,irrelevant
"RT @fredbenenson: Hey @twitter and @apple, this is pretty dumb. http://t.co/kubkPO0T",neutral,neutral
Digital X Worldwide | Today Is Steve Jobs Day In California @apple http://t.co/QSCHuMIN,neutral,irrelevant
@AsimRang @apple @umber when you upgrade to ios5 there is a section in app store which lets you download anything you have purchased before,neutral,irrelevant
Couldnt help it & explored the #iphone4s @apple store & talked to #Siri... Should've tried to speak to her in French?! #nexttime,neutral,irrelevant
@apple please bring back the old Siri app for us old school iPhone 3 users!,neutral,irrelevant
Easiest way to use Evernote with iPhone 4S Siri. Just tell Siri to Email Evernote and say your note. @evernote @apple #evernote #siri,neutral,positive
"So @apple the new iMessage is great and all, but is there a way to default to SMS when I'm not on wifi? I have limited data.",neutral,neutral
"after being on hold with @apple for the last 30 mins, i really like their music selection of on-hold music. White Stripes, Ray Lamontagne...",neutral,positive
iPhone 4S First Weekend Sales Top Four Million: http://t.co/O7zqnY7K (via @apple),neutral,positive
"#Win an @Apple iPod Touch from @Mommy_gaga, get the @Pampers Hello World Baby Memories App! http://t.co/zRBak7kL #PampersHelloApps",neutral,irrelevant
"Thanks, @Apple. Now even more people on the bus are talking to inanimate objects. Harder than ever to tell who's crazy and who's hip.",neutral,negative
iPhone 4S 8MP camera : Itu00b4s a SONY. http://t.co/njTHOi2x @sony @apple #apple #iphone4S #cameras,neutral,irrelevant
how do you sync gmail contacts with your iphone? help please! @apple @gmail,neutral,irrelevant
@robcollingridge @Apple @Google and with a URL that works http://t.co/vGSf529q,neutral,positive
"@Apple, Y U NO LET ME PRE-ORDER IPHONE 4S?",neutral,irrelevant
"Thinking more, I want Android to do an iMessage service & for @Google & @Apple to interconnect. They would if the cared about their users.",neutral,irrelevant
The new @apple #find my friends app is great.... except the part where you have to log in everytime. Get back to me when this is changed...,neutral,positive
RT @HowardMortman: .RT @edatpost: .@Apple fan Eric Holder spotted at the Genius Store http://t.co/7vZSIXpy,neutral,positive
@Blogger loves @Apple iPhone. My blogpost finally done through iPhone apps.,neutral,positive
"RT @TheMacMob: Sprint, Verizon & AT&T @Apple Stores http://t.co/ZOzR0UUz",neutral,irrelevant
How much do @Appleu2019s factories cost? | asymco http://t.co/GH0tvqMO,neutral,irrelevant
@Apple how fun wouldn't it be if it was possible to integrate  ( soon to be named ) with notifications?,neutral,positive
"How I manage my businesses/life: @pivotaltracker, @37signals, @twitter, @googleapps, @apple, @dropbox, @wordpress, @dreamhost THX",neutral,irrelevant
"#Win an @Apple iPod Touch from @Mommy_gaga, get the @Pampers Hello World Baby Memories App! http://t.co/en0iacwR #PampersHelloApps",neutral,irrelevant
"@Bestbuy or @Apple to purchase my imac, iPad, and printer? #StudentDiscounts?",neutral,irrelevant
@apple Give Siri back!,neutral,irrelevant
@cnbcfastmomey what price should I sell @apple for,neutral,irrelevant
IHS: iPhone 4S shows key design and component changes. http://t.co/Y3Mali6y  @apple #apple #iphome4S #ios5,neutral,irrelevant
"Gone for a run, beautiful morning , man do I love iOS 5 @apple, #iPhone",positive,positive
you are so blessed. @apple,positive,irrelevant
@apple Siri is amazing,positive,positive
Thank you @apple for Find My Mac - just located and wiped my stolen Air. #smallvictory #thievingbastards,positive,neutral
Good support fm Kevin @apple #Bellevue store 4 biz customers TY!,positive,positive
@Wisconsin_Mommy @Apple I'd totally email the company... I always get great service at our @Apple store!,positive,positive
