Topic,Sentiment,Prediction,TwitterText,,,,,,,
apple,negative,irrelevant,@Apple Siri is down!,,,,,,,
apple,negative,neutral,"RT @Jewelz2611 @mashable @apple, iphones r 2 expensive. Most went w/ htc/galaxy. No customer loyalty w/phone comp..",,,,,,,
apple,negative,irrelevant,"@apple WTF why can we not add the newsstand to a folder?! We are already in your walled garden, so please don't remind us of it.",,,,,,,
apple,negative,irrelevant,"@semilshah yeah except that when you ask for a receipt, it takes them 30 minutes to figure out where it printed out. Fix that, @Apple!",,,,,,,
apple,negative,irrelevant,@apple #iOS.5 has been nothing but a pain in the ass no room for my music.. Or photos.. Or apps! Can I undo this garbage??,,,,,,,
apple,negative,irrelevant,"I hate you @apple for not sending Toledo,oh @bestbuy any @iPhone for @verizon even after I pre ordered!!!",,,,,,,
apple,negative,irrelevant,Samsung seeks iPhone 4S ban in Japan and AustraliaPatent war intensifies with injunction sought against @Apple http://t.co/QmwjTvnk,,,,,,,
apple,negative,neutral,"@apple If you want to know what customers think dont send updates with the noreply"" return address. Who invented that anyway. #useless""",,,,,,,
apple,negative,negative,"@apple Wish I could pick month, day, and YEAR when setting a new calendar item on my iPhone. Why hasn't the new iOS fixed this yet?!",,,,,,,
apple,negative,irrelevant,"Boy, could @apple make it any harder to put my purchased music from the cloud on to my new macbook pro? You must authorize this computer??""""",,,,,,,
apple,negative,irrelevant,Where is my iPhone!?!?!?!@apple,,,,,,,
apple,negative,irrelevant,"@Apple #iOS5 NONSTOP DROPPED CALLS&MUTE BUTTON RANDOMLY ACTIVATING&PERSON CANT HEAR ME, PULL PHONE FROM EAR TO BE ON A MOBILE ME"" SCREEN""",,,,,,,
apple,negative,irrelevant,"??@philipgrey: dear @apple, why you gotta go change the way &lt;input type=number""&gt; is handled out of the blue???""",,,,,,,
apple,negative,neutral,"@sprint @bestbuy still no word on my iPhone4s preorder.  Best Buy blames Sprint, Sprint blames @apple, I just want an honest answer.  #help",,,,,,,
apple,negative,irrelevant,"Every time I try the voice control on my iPod Touch to send an iMessage, it starts playing Who Knew"" by Pink.  Still not Flawless @Apple""",,,,,,,
apple,negative,neutral,@apple not happy with Apple today. I did the suggested software update and now nothing works!!!,,,,,,,
apple,negative,irrelevant,"@Apple, #iOS5 on iPhone2 causes Camera apperature dilation problems & freeze.",,,,,,,
apple,negative,irrelevant,The one #iphone feature still missing since @apple first showed it.. Contacts pictures on the contacts list! Simple yet 5 major updates miss,,,,,,,
apple,negative,irrelevant,"@amandbrar @apple Siri has worked for me less than 10% of the time. If service doesn't improve by Monday, I'm returning my iPhone 4S.",,,,,,,
apple,negative,negative,iTunes is @apple's worst product. Worse than the #Newton or the hockey puck mouse. It's utterly painful to use.,,,,,,,
apple,negative,irrelevant,Ok @iTunesMusic idk wth is up but after syncing my phone my album art is out of order! WTF @Apple!,,,,,,,
apple,negative,neutral,but seriously @apple finance me a damn phone you greedy bastards! OR Santa...get your jolly ass in gear and get us a 4S - white plz,,,,,,,
apple,negative,irrelevant,*sigh* @apple store seems stumped what to do about my catastrophically bad battery life after upgrading to #ios5,,,,,,,
apple,negative,irrelevant,@Apple - why do I have to have apps I am updating in their original 'folder' location? That was painful.,,,,,,,
apple,negative,irrelevant,"You can make photo albums in the Photos app with iOS 5, but can't password protect them? Um... @apple, fix that. Quickly.",,,,,,,
apple,negative,negative,My @Apple @macbook keyboard will not type :(,,,,,,,
apple,negative,positive,This. RT @bonkoif Looks like @Apple did not appropriately project the resources needed for Siri. Not very reliable,,,,,,,
apple,negative,irrelevant,@apple No location reminders on ipad2! That was the point of updating to iOS 5,,,,,,,
apple,negative,irrelevant,@apple just now seeing none of my Microsoft Office programs work anymore after Lion upgrade. Why??,,,,,,,
apple,negative,neutral,Smashed yet another #iPhone screen. When are @apple gonna make the phone more durable!!! Tired of fixing it myself!!!,,,,,,,
apple,negative,negative,"@nansen Man, that sux! @apple io5 upgrade a total #fail for you!",,,,,,,
apple,negative,neutral,"Asked #Siri Where's Baby Lisa?"" and was told ""sorry"," I'm having trouble connecting to the network right now."" @apple server fail. #ios5""",,,,,,
apple,negative,neutral,Anyone else seeing missing signal bars on their #iPhone 3GS with an upgrade to #iOS5? cc/ @applecanada @apple @forstall,,,,,,,
apple,negative,irrelevant,#DontBeMadAtMeBecause #Android is by far better than @Apple,,,,,,,
apple,negative,irrelevant,Pissed with whoever designs keyboards with @apple for not having a home and end key.  working on the CLI i use those keys often,,,,,,,
apple,negative,neutral,"De??r iCloud I HATE U , AND I HOPE YOU DIE , YOU ARE THE WORST FUCKING INVENTION IN THE WORLD , FUCK YOUUUUUUUUUUUU #iCloud @apple @stevejobs",,,,,,,
apple,negative,irrelevant,"See @Apple, that what's happen when you release iPhone 4S with same crappy design as the old phone!",,,,,,,
apple,negative,neutral,@Apple can't send me an iPhone preordered 1hr after launching but they cans send 5 or 10 to all the jackasses who want to shoot or blend 'em,,,,,,,
apple,negative,neutral,@apple why is my iPhone battery so crappy #fail,,,,,,,
apple,negative,negative,So @PhoenixSwinger 's iPhone 4 is giving her a hella hard time w/ the iOS5 update @apple,,,,,,,
apple,negative,irrelevant,"yo, @apple, this update is a disaster",,,,,,,
apple,negative,irrelevant,@apple domain fail. Open 2 hrs late for walk in ppl. Store was empty and i only need a skin 4 my screen. You represent customer service FAIL,,,,,,,
apple,negative,neutral,@apple u guys are gay,,,,,,,
apple,negative,irrelevant,@albertmal88 remember @apple is evil. #icloud entering the #dropbox market,,,,,,,
apple,negative,neutral,I'm suspecting @Apple timed the health-decline of my iPhone 4 perfectly with the iPhone 4s release... My battery is seriously ailing.,,,,,,,
apple,negative,neutral,. @apple & @AT&T u cannot tell me there isn't at least 1 64GB iPhone 4S in LA or Vegas!! Give me a fucking break!!!!,,,,,,,
apple,negative,positive,"@Apple, #iOS5 #geolocation Suburbs with 2 words drops Map Pins in other States! Please fix.",,,,,,,
apple,negative,neutral,fuck u @apple,,,,,,,
apple,negative,neutral,I sure as hell better be able to restore my calendar events. Terrible bug apple! @apple #icloud #anothericloudfail,,,,,,,
apple,negative,irrelevant,@jane73 @Gazmaz hopefully it's a small bug @Apple must be fixing it. RIGHT  APPLE }:0( #itjustworks,,,,,,,
apple,negative,neutral,"Restored my iPhone. STILL NO TEXTS. DEAR @APPLE Y NO LOVE, Y RESTRICTIONS ON MY SMS?  Y NO TEXTS.... #iOS5 #iOS5atemydingo",,,,,,,
apple,negative,irrelevant,why the fuck dose my phone decide its just ganna freeze every time i try to update it so fucking sick of @apple,,,,,,,
apple,negative,neutral,"Oh, @apple. Steve obviously had nothing to do with iPhoto, as it's the perfect opposite of 'insanely great'. Get it fixed, please.",,,,,,,
apple,negative,neutral,"@samsung, @apple, you do realise you're just really pissing off the customer base AS WELL AS looking petty.",,,,,,,
apple,negative,neutral,Lies @apple. the battery on this new iPhone4S is definitely not any better.,,,,,,,
apple,negative,irrelevant,My schedule is 2 busy 2 spend UNquality time with @ATT @Apple 2 recover Iphone again-The mo' mobile I get the mo' immobile I is. Sync Not!,,,,,,,
apple,negative,negative,"??@carlton858: I really hate dealing with the brain dead people at the @apple store. For such good products, customer service sucks.?? in NZ?",,,,,,,
apple,negative,neutral,@twalve @apple you know the issues they have with DST and alarms :p,,,,,,,
apple,negative,irrelevant,@Blackberry does take better quality photos than @Apple iPhone though. I give them that! #photograhersEye,,,,,,,
apple,negative,neutral,Hmmmm a lot of #Siri features don't work in Canada. Location and directions? Seriously @apple come on!,,,,,,,
apple,negative,irrelevant,"dear @apple, why you gotta go change the way &lt;input type=number""&gt; is handled out of the blue?""",,,,,,,
apple,negative,neutral,"@paulens It surprises me that @Apple throws up an error alert about authorizing, and there's no Authorize this computer"" button.""",,,,,,,
apple,negative,neutral,@rogerweir no but I have the option of a  replacement iPhone 4s ?Not sure if I want one after having 2 duff iPhones.@O2 @iphone4s @apple,,,,,,,
apple,negative,neutral,i update to ios 5 and lose everything on my phone and it wont let me sign into my itunes account... thanks @Apple,,,,,,,
apple,negative,negative,I know a few others having same issue RT @Joelplane: 9% now on my second full charge of the day. Pissed @Apple,,,,,,,
apple,neutral,negative,"Just when #TomCruise thought he had a unique name for his daughter, @Apple pulls the rug out from under him with the new #Siri App.",,,,,,,
apple,neutral,neutral,iPhone 4S: Setup SIRI for your Tweets. http://t.co/ws7LINTS @apple #apple #iphone #siri,,,,,,,
apple,neutral,neutral,iOS 5 for iPhone and iPad is Here: Apple's Best Release Yet?  http://t.co/iLYGZ5Ox #ios5 #ios @apple #ipad #tablet,,,,,,,
apple,neutral,irrelevant,In front of the @apple store. So many blue shirts I feel like I'm at a smurf reunion. #iPhone4S,,,,,,,
apple,neutral,irrelevant,The iPhone update has segregated my contacts between iPhone users and non-iPhone users. They just had to call out those non-users @apple,,,,,,,
apple,neutral,positive,SpeechTrans http://t.co/TW3SzX61 on @Apple App store listed as the #best bi-directional #Speech To Speech #Translator ---- Posts on Twitter,,,,,,,
apple,neutral,irrelevant,@apple Why don't you have a wireless remote for Keynote presentations w a MacBook Air?  Nobody wants to see the pith man navigate w a iPhone,,,,,,,
apple,neutral,neutral,3 principal global players will be active in every market...@Amazon, @Apple," & @Kobo."" @MikeShatzkin http://t.co/1ndxcMO1 #dbw #metacon""",,,,,
apple,neutral,negative,@Apple #RIPSteve RT @davepeck: Steve Jobs and the Seven Rules of Success http://t.co/4nLRLdWy,,,,,,,
apple,neutral,irrelevant,"#wheniwas14... @Apple registered the domain name http://t.co/FPvKn1kJ, thus beginning their plan for world domination",,,,,,,
apple,neutral,neutral,Fregon el nuevo facebook para iPod/iPhone haha alomejor ya tiene rato pero yo lo acabo de actualizar @apple,,,,,,,
apple,neutral,neutral,"#Win an @Apple iPod Touch from @Mommy_gaga, get the @Pampers Hello World Baby Memories App! http://t.co/gIHYpzWO #PampersHelloApps",,,,,,,
apple,neutral,irrelevant,iPhone 4S First Weekend Sales Top Four Million: http://t.co/Dm4acTYv via @Apple themselves. Big sales for the new phone.,,,,,,,
apple,neutral,irrelevant,@KaeKaed @Apple Here is an easy way to put Newsstand in a folder http://t.co/yVXmWIbI,,,,,,,
apple,neutral,neutral,"@coatgal had a really interestng experience up in the @Apple store though, Paul was with me up there, faulty #iphone4 - but out of warranty",,,,,,,
apple,neutral,neutral,Found out the hard way today that @webex does not work with @apple ios5 yet when you are following a link for a meeting..,,,,,,,
apple,neutral,irrelevant,Lol bet that Android couldnt do that  RT @ceejay3k: I promise this iPhone been at 1% battery for the last 3 hours. I see you @apple.,,,,,,,
apple,neutral,positive,RT @adamnash: The takeaway from the @Apple earnings call?  Even Apple needs a new iPhone release every 12 months to stay competitive. cc ...,,,,,,,
apple,neutral,negative,RT @DJTREBEL1: #fail i guess @apple didnt notify these clowns that the iPhone5 isnst out yet.... http://t.co/2yCDNt1B,,,,,,,
apple,neutral,irrelevant,Hey @Apple - need more servers for Siri traffic?  I'm sure Google can help you out with that...,,,,,,,
apple,neutral,negative,"#Win an @Apple iPod Touch from @Mommy_gaga, get the @Pampers Hello World Baby Memories App! http://t.co/fnbKNwmj #PampersHelloApps Ends10/21",,,,,,,
apple,neutral,negative,Waiting on line @Apple store at west 14th Street.,,,,,,,
apple,neutral,irrelevant,"@WIREDInsider beautiful, yes. though it simply reminds me of @apple's spinning wheel of death. clock, reinvented: http://t.co/tJcJAqfl",,,,,,,
apple,neutral,negative,"@Apple iOS5 is all well and good and has nice new features, but I'm still waiting on an app that will go to work for me.",,,,,,,
apple,neutral,negative,Steve Jobs Biopic Coming Soon - @Apple #Apple #SteveJobs http://t.co/DxZBa5bG,,,,,,,
apple,neutral,neutral,Oops! Apparently @apple is some handle-squatter. Tweetbarassment.,,,,,,,
apple,neutral,negative,@learmonth @Cue improves iMessage + engages @Apple content partners' customers better http://t.co/hhkvlwFB with social activity messaging,,,,,,,
apple,neutral,negative,@apple store #Towson waiting at Genius bar - huge crowd waiting for #iPhone 4s @michaelmark @nicolelil http://t.co/x92sweCh,,,,,,,
apple,neutral,negative,RT @ajrogers Purdie Rogers tribute to #SteveJobs and @apple. We spray painted the Macintosh Plus w.. http://t.co/oMXjhZh0,,,,,,,
apple,neutral,irrelevant,Using @Apple's mobile @AirPort Utility http://t.co/TiDpaHYC,,,,,,,
apple,neutral,irrelevant,My friend @bm88 found this article on the #ios5 battery drain problem http://t.co/zMX85Fkd @apple,,,,,,,
apple,neutral,irrelevant,IHS: iPhone 4S shows key design and component changes. http://t.co/6tfiGiDV  @apple #apple #iphome4S #ios5,,,,,,,
apple,neutral,irrelevant,#Win an @Apple iPod Touch from @Mommy_gaga," get the @Pampers Hello World Baby Memories App! http://t.co/DLLabuAK #PampersHelloApps""""",,,,,,
apple,neutral,irrelevant,YESSS @apple fix it also slow internet RT @SprintFeed: iPhone 4S owners are you having trouble with Siri connecting to internet?,,,,,,,
apple,neutral,neutral,@Apple sells 4 million on the first weekend. @Samsung sold over 30 million Galaxy S II phones globally.,,,,,,,
apple,neutral,neutral,"Win an @Apple iPod Touch from @Mommy_gaga, get the @Pampers Hello World Baby Memories App! http://t.co/2XJZaLCs #PampersHelloApps",,,,,,,
apple,neutral,irrelevant,"dear @apple please invent FaceTime Voicemails."" sincerely"," haendel balzora jr. #apple""",,,,,,
apple,neutral,neutral,@Apple needs to take down the Steve Jobs tribute and get back to promoting the brand - put the Cloud on the front page and start explaining,,,,,,,
apple,neutral,neutral,OK @apple your accessories policy is out of hand. I need a powered line in to use the mic? Are you KIDDING ME?,,,,,,,
apple,neutral,neutral,This video brought a small tear to my eye http://t.co/3va2ninp. Watch to @SteveWoz opinion of #SteveJobs and @Apple,,,,,,,
apple,neutral,negative,Iphone: Watch Siri &quot;Work&quot; On the Old iPhone 4 - @Gizmodo http://t.co/dGPWL0r0 @apple allow commands from iPhone 4. Stop playin!,,,,,,,
apple,neutral,neutral,"Gee, I can't imagine that the maps app graphic from this Samsung website will help their court cases vs. @Apple: http://t.co/PmanMoAh",,,,,,,
apple,neutral,negative,The takeaway from the @Apple earnings call?  Even Apple needs a new iPhone release every 12 months to stay competitive. cc: @hblodget,,,,,,,
apple,neutral,negative,"@jackiestone1 yes! Tech peeps talk so much about algorithms, but tech should always tie back to people. @apple proves this #imediasummit",,,,,,,
apple,neutral,neutral,RT @DailyDealChat: @bidmyway I like your app for the @apple iPhone very simple and easy to use!,,,,,,,
apple,neutral,negative,@bxlewi1 hey...do you know why @Apple hasn't added 4G support yet? Seems like an odd omission for such an advanced device.,,,,,,,
apple,neutral,negative,dear invisible intern/assistant: please go pick up my computer from the @apple hospital so i can upgrade to iOS5. thanks!,,,,,,,
apple,neutral,negative,"Hey @Apple, could you hook the voice memos app on the iPhone up with fine scrubbing? Journalists need love too.",,,,,,,
apple,neutral,irrelevant,WOW DOGS!!@Apple w/Starr earlier - upstairs in the huge soho store and all of a sudden she sprung to attention... http://t.co/b2PLMYVD,,,,,,,
apple,neutral,negative,RT @TimjwDowning: #iOS 5  is a great system but it's taken all day to download @apple,,,,,,,
apple,neutral,irrelevant,http://t.co/CvEKdOIQ line at @Apple northpark #dallas mall. #4GSiPhone,,,,,,,
apple,neutral,positive,You need to ask #Siri her favorite color and the average speed of an unladen swallow. Seems Someone @apple is a Monty python fan,,,,,,,
apple,neutral,irrelevant,I have 4 @Apple products...,,,,,,,
apple,neutral,irrelevant,@mcp111 @apple @AppStore Why are you asking us? Apple don't read messages on Twitter... and Apple aren't @Apple either,,,,,,,
apple,neutral,neutral,Lol and what do those look like? RT @TalkYo_ISH: Dear @Apple Can We Get Some Afro-American Emoticons? -Management,,,,,,,
apple,neutral,neutral,Video: SIRI also gets angry. http://t.co/tzigD99b  @chrisvoss @apple #apple #siri #iphone4S #Ai,,,,,,,
apple,neutral,irrelevant,"#Win an @Apple iPod Touch from @Mommy_gaga, get the @Pampers Hello World Baby Memories App! http://t.co/8MaDmqPc #PampersHelloApps",,,,,,,
apple,neutral,negative,Great Tech War of 2012 http://t.co/64jGRoBp @FastCompany profiles @Amazon @Apple @Google @Facebook on @CNBC /ht @philsimon,,,,,,,
apple,neutral,neutral,iPhone 4S 8MP camera : It?s a SONY. http://t.co/BIqBEhTb @sony @apple #apple #iphone4S #cameras,,,,,,,
apple,neutral,irrelevant,@apple #siri http://t.co/k7b686hX,,,,,,,
apple,neutral,neutral,@rjpittman Why you won't use your @apple account.,,,,,,,
apple,neutral,negative,U know the @apple company are giving out 500 iPads because Steve jobs past away,,,,,,,
apple,neutral,negative,RT @iancollinsuk: Apple have just announced they sold 4 million phones this weekend. Incredible. That recession continues to bite @apple ...,,,,,,,
apple,neutral,neutral,Video: SIRI also gets angry. http://t.co/Ku288WX6  @chrisvoss @apple #apple #siri #iphone4S #Ai,,,,,,,
apple,neutral,irrelevant,"Salesperson at #soho @Apple store it doesn't matter how many people are lined up out front. They're not gonna get one"" #iphone4s""",,,,,,,
apple,neutral,negative,"#Win an @Apple iPod Touch from @Mommy_gaga, get the @Pampers Hello World Baby Memories App! http://t.co/nDRpciY9 #PampersHelloApps",,,,,,,
apple,neutral,neutral,Can someone explain to me how the hell iMessage differs from a text message? @Apple,,,,,,,
apple,neutral,neutral,#Steve #Jobs #Tribute iPhone 4S Cases Now Available #iphonecaseshttp://t.co/2hyurIiq#stevejobstributecases@ikaveri @iamsrk @apple,,,,,,,
apple,neutral,irrelevant,RT @TalkYo_ISH: Dear @Apple Can We Get Some Afro-American Emoticons? -Management,,,,,,,
apple,neutral,irrelevant,POLL: http://t.co/GcrpUKwF Q:R U pissed @Apple banned this video? #Apple #iPhone4S #Siri #F8ball,,,,,,,
apple,neutral,negative,"Big mo: In one week, @Apple #iCloud hits 20M users; 25M use #iOS 5 http://t.co/HTpUTBFK via @cnet",,,,,,,
apple,neutral,negative,Cat accusing tiger for roaring  #Samsung on @Apple,,,,,,,
apple,neutral,neutral,@apple So why is Siri only available on the iPhone 4S ?   - http://t.co/QZuNgyLW,,,,,,,
apple,neutral,neutral,"no kidding ??@thejabberwockey: Also @EricGreenspan, don't forget @Apple stop closing the app store after each bloody purchase...??",,,,,,,
apple,neutral,neutral,"Siri is cool but more importantly handy and FUNNY. @Apple please configure it for Canada. What's with the racism, EH?",,,,,,,
apple,neutral,irrelevant,hmm it seems i should have checked the identity of @apple first??,,,,,,,
apple,neutral,irrelevant,Video: SIRI also gets angry. http://t.co/ksX2XZoR  @chrisvoss @apple #apple #siri #iphone4S #Ai,,,,,,,
apple,neutral,neutral,Why doesn't the Genius have songs for Watch the Throne yet? HUH? @APPLE ?????,,,,,,,
apple,neutral,negative,#opinion @Samsung need to be careful in @Apple patents issues - it looks a lot like you 'learned' a lot by making their chips!,,,,,,,
apple,neutral,neutral,Just realized Apple doesn't even have @Apple on lock. This dude R.J. Pittman waiting for thee fattest check.,,,,,,,
apple,neutral,negative,@Apple why no Macbook mirroring onto AppleTV via #Airplay?,,,,,,,
apple,neutral,neutral,"New #iOS5 notification center is a big improvement, but @apple missed an easy trick by not making it fully available on lock screen.",,,,,,,
apple,neutral,irrelevant,"I don't get it. Instead of @apple dropping the 16GB iPhone 4 down to $99, they release an 8GB one for $99???",,,,,,,
apple,neutral,irrelevant,Notes for Jobs @Apple store in Palo alto downtown. http://t.co/4BJjfq4h,,,,,,,
apple,neutral,negative,"Stay young, stay foolish. But take ownership when u f*ck up, don't complain, and never give up. #resilience @apple",,,,,,,
apple,neutral,neutral,@ireton Perhaps it's time for @Apple to come out with an app called iSuck that lets you know which apps are killing your battery life,,,,,,,
apple,neutral,negative,"@BeeeThree I am aye, I wasn't @apple",,,,,,,
apple,neutral,neutral,"Upgrading my #iPad to #iOS5. When @Apple said it could take a couple of hours to install and restore it, they weren't kidding.",,,,,,,
apple,neutral,negative,Thanks @apple my girlfriend likes #siri more than me now.,,,,,,,
apple,neutral,neutral,"Ok, so it was a lion and not a leopard. Too much upgrading this weekend. @apple",,,,,,,
apple,neutral,positive,.RT @edatpost: .@Apple fan Eric Holder spotted at the Genius Store http://t.co/LCTPxHF5,,,,,,,
apple,neutral,neutral,Why didn't @Apple merge the address and search bars in Safari ala Crome in iOS 5? #simplethings,,,,,,,
apple,neutral,irrelevant,Great post on the upcoming Great Tech Wars of 2012! @amazon @apple @google @facebook http://t.co/OSeqhT7W via @cbillich,,,,,,,
apple,neutral,negative,is it me or @blackberry is begging ppl not to go @apple #iphone http://t.co/X3gdBUyK,,,,,,,
apple,neutral,positive,#Win an @Apple iPod Touch from @Mommy_gaga," get the @Pampers Hello World Baby Memories App! http://t.co/r0WYm1jX #PampersHelloApps""""",,,,,,
apple,neutral,positive,RT @FaithMcNally: @RhiannaRaee hanging @apple in tacoma listening to the beatles!,,,,,,,
