Topic,Sentiment,Tweet
apple,irrelevant,"O #itunes acaba de me avisar q esta dispon\u00edvel a vers\u00e3o 5 pra atualizar meu #Iphone 4. Como n\u00e3o cair de amores pela @apple e #SteveJobs ?!!"
apple,irrelevant,"@apple pratet om en versjon av iPod touch til barn. De ombestemte seg da tittelen n\u00e6rmet seg #iTouch Kids."
apple,irrelevant,"interesante por decirlo menos sabes que la c\u00e1mara del #iphone4s le pertenece a #sony ... mmm ojal\u00e1 ande bien y no sea mala jugada de @apple"
apple,irrelevant,"""Oja"
apple,irrelevant,"@ChArEnCe RaMoS @apple jane @heiMachO @tintin_Julielmo new followers..:) na follow back ko na po kayo..:)"
apple,irrelevant,"[iPad] iPad 1. Generation general\u00fcberholt ab 389 \u20ac @Apple: Der Tablet von Apple bleibt weiterhin recht preisstab... http://t.co/h8ANhAVu"
apple,irrelevant,"Kan @Apple de #tekstaanvulling op #iphone en #ipad niet omdraaien? #eigenteksteerst #weetapplehetaltijdbeter"
apple,irrelevant,"[iPad] iPad 1. Generation general\u00fcberholt ab 389 \u20ac @Apple http://t.co/tOv1xKQ8"
apple,irrelevant,"Gostaria de deixar aqui registrado meu agradecimento a @apple por preservar meu sono. As notifica\u00e7\u00f5es do iOS5 n\u00e3o apitam na madrugada ;-)"
apple,irrelevant,"ASSISTINDO O FILME CHAPA!! PIRATAS DA INFORM\u00c1TICA  ESSE FILME E FODA VIVA @APPLE"
apple,irrelevant,"iphone\u884c\u5217\u4e26\u3093\u3060\u30fc@apple store\u9280\u5ea7 \u3069\u306e\u304f\u3089\u3044\u304b\u304b\u308b\u304b\u306d\u300216G\u3057\u304b\u306a\u3044\u305d\u3046\u3067\u3059\u3002"
apple,irrelevant,"Causando na loja da @apple"
apple,positive,"Find more the best Angel Christmas Tree O http://t.co/d5G1rY5d@Starfrit @Apple @Peeler"
apple,positive,"Find more the best Cyst On Knee deal.Check price of best Cyst On Knee and offers now. http://t.co/qzYnNuvI@Automatic @Apple"
apple,positive,"Do not check other site for Uhmw Conveyor.Now you go best site of Uhmw Conveyor. http://t.co/8RMV5D2q@9 @Pin @Cable @Apple"
apple,irrelevant,"""RT @ThBenkoe: hey @apple! dass man selektiv keine einzelnen fotos (peinliche"
apple,irrelevant,"Hello you are find Mesh Jacket Motorcycle? Our site have more Mesh http://t.co/tYg4Ualc@Ace @Hardware @Apple @Pee"
apple,irrelevant,"to reiniciando meu computador. \u00f3 as id\u00e9ia @apple"
apple,irrelevant,"Buy more products of Hemp Jewelry Instructions now.Free ship http://t.co/928bPS4t@Lehmans @Apple @Peeler"
apple,irrelevant,"@rogriffo VC Viu ontem A @Apple Estava dando IPhone 3 No Site dos estados Unidos"
apple,neutral,"Today very cheap for Hemp For Fuel.And Free shipping for Hemp For Fuel too. http://t.co/8gyJLbMW@Farberware @Apple @Peeler"
apple,irrelevant,"RT @cjwallace03: So apparently @apple put MB cap on your SMS with the new update. 25mb storage before it tells you your inbox is full. W ..."
apple,irrelevant,"""@mashable @apple"
apple,negative,"THiS IS WHAT WiLL KiLL APPLE http://t.co/72Jw4z5c RiP @APPLE"
apple,negative,"@apple why my tunes no go on my iPhone? iPhone lonely without them. silly #iOS5"
apple,irrelevant,"@apple needs to hurry up and release #iTunesMatch"
apple,irrelevant,"Why is  #Siri always down @apple"
apple,irrelevant,"I just need to exchange a cord at the apple store why do I have to wait for a genius? @apple"
apple,irrelevant,"""@apple AirDrop #fail - Immediate \""""declined your request.\"""" every time"""
apple,positive,"good article about why @apple fucked it all up with lion and their future. http://t.co/zNDP9Vr6 #fb"
apple,negative,"Yellowgate? Some iPhone 4S Users Complain of Yellow Tint to Screen http://t.co/uaqrxTNk @apple @iphone4s"
apple,negative,"FUCK YOU @apple DIE IN A FUCKING BLAZE INFERNO."
apple,irrelevant,"@ryanbaldwin @apple So in iTunes I go Store -&gt; Authorise\u2026 why doesn't it just auto-authorise it when I sign into iTunes? Grrrr..."
apple,irrelevant,"""Seriously - I have absolutely no offing clue what @Apple means by \""""authorization\"""""
apple,irrelevant,"""shit"
apple,negative,"Dear @apple My new Air is now a notbook since your update killed #wifi #bug #destroying #productivity"
apple,negative,"""I am so done with @Att and @apple 's profitering and lack of customer service"
apple,irrelevant,"""You know @apple It's been almost a week since I paid for iTunes Match"
apple,negative,"removing all @apple shit."
apple,negative,"Gotta say the @Apple itouch iphone shuffle etc.. sound quality is AWFUL.. painfully crap. Its been a downgrade from @Sony sound quality wise"
apple,irrelevant,"""@bisquiat @Apple the upgrade just slows down my phone so much"
apple,irrelevant,"Hey @apple now I have iOS5 my iPhone doesn't include songs that are on compilation albums under the artist's name. #whaddupwitdat"
apple,irrelevant,"@NickTheFNicon He can send but not rcve txts so he has an apt @apple at 4pm.Then he exclaims: And I waited a whole YEAR for this phone!!LMAO"
apple,neutral,"Total chaos at @apple store regent street. Like an Ethiopian feeding station. Can't believe this is same co. that makes all that cool shit."
apple,irrelevant,"""@phxguy88 @Apple @BGR That's why all the ppl who stand in line for hrs to get the \""""newest\"""" model are suckers..."""
apple,negative,"Would it kill @apple to put a braille type bump on their earbuds so we know which bud is R and L in the dark."
apple,neutral,"@APPLE Wow @MOTOROLA Just crushed your dreams...."
apple,irrelevant,"""Oh"
apple,irrelevant,"""@apple"
apple,irrelevant,"""@Apple"
apple,neutral,"@Steelo254 yea! I pre-order through @apple and they sorry too just like #AT&T"
apple,positive,"Interesting... @apple now requires you to have a reservation ?         #apple #iphone #4S    :  http://t.co/zZK4fTii"
apple,irrelevant,"""@apple"
apple,negative,"I hate my @apple computer.  Thats 3500 dollars down the drain."
apple,negative,"@apple my iPhone is charging very slowly!!!!!"
apple,negative,"""@Apple #iOS5 gm on ipad1 is very slow wash better on beta7/8 solve this problem"
apple,neutral,"""@Apple iTunes is the worst program ever. For such a great phone"
apple,positive,"One would think the voice recognition on the @apple tech support line would work a little better."
apple,irrelevant,"""@apple $319 to repair my iPad 2"
apple,positive,"""@azee1v1 @apple @umber Proper consolidation"
apple,negative,"@AsimRang @apple @umber the desktop app is wack though"
apple,negative,"Frustrated that I bought a new macbook pro from @apple only to find it doesnt ship with media! #expensivepaperweight"
apple,positive,"Dear @apple. I had to turn off all those awesome featured you just enabled. Data plan can't handle it. 200 mb of data just because #"
apple,negative,"@apple is there a problem with iOS 5 that is preventing audio apps and audio functions from operating properly? I keep losing sound."
apple,neutral,"@apple #apple One thing I hater about this #mouse the #buttery finish so fast am not #happy now #macworld @macworld http://t.co/5Uh4a4Vt"
apple,irrelevant,"Wtf @apple 64 pages for the new terms & conditions when u update ur apps from the iTunes store. Do u really think we'll read em? Really???"
apple,negative,"oh and prolly ganna be late to work bc @apple has screwed me and my phone has my only alarm on it"
apple,neutral,"Like @apple da fuck is this shit?  http://t.co/nb4DHlSg"
apple,negative,"RT @CircusTK: I'm wit chu!! \u201c@ShayDiddy: Officially boycotting @ups!!! Calling @apple to curse them out next for using them wasting my t ..."
apple,irrelevant,"""@apple"
apple,irrelevant,"""@apple the reservation system not working"
apple,negative,"RT @ShayDiddy: @CircusTK @ups @apple both of them are bs!!! How do u tell me go between a certain time ONLY and the muh fuh is closed!"
apple,negative,"I'm wit chu!! \u201c@ShayDiddy: Officially boycotting @ups!!! Calling @apple to curse them out next for using them wasting my time!\u201d"
apple,irrelevant,"""ugh! @apple"
apple,neutral,"Issues with updating iTunes on my windows pc - they really are not compatible.... Sent more time talking to @Apple care than using it!!"
apple,positive,"none of my apps work after the new ios from @apple. what do i do?!?"
apple,negative,"@Wisconsin_Mommy @apple that's terrible!  I hope you get an apology!"
apple,neutral,"@zombiebomber have been on the phone with @verizonwireless and @apple pretty much ever since then. Really annoyed."
apple,irrelevant,"""@chascouponmom @apple I get they are busy w/ the new phone"
apple,irrelevant,"""@apple @iphone Please deliver my daughter's i4s"
apple,negative,"Have never had such poor customer service at @Apple before! What happened? (@ Apple Store w/ 2 others) http://t.co/GKlXMUi6"
apple,negative,"@hailfire101 @Irvysan They are... then @apple happened and snatched Siri so they could be douchebags and say 'it's ours!'"
apple,negative,"What was @apple thinking making #Siri totally dependent on a network connection? Siri + @ATT = utter frustration."
apple,positive,"Wow the Genius Bar Reservation Line @Apple is ridic right now - ___- I am not amused. #ugh"
apple,positive,"An apple update has seemed to render my work machine incapable of opening HDV video. Thanks @Apple. Zero useful productivity today."
apple,negative,"@apple I committed to your cloud storage iDisk and now it's raining :-( so soon no more iDisk.  Any plans for a new service for storage?"
apple,irrelevant,"Hey @apple why can't I share a reminder list from my iPhone?\nAlso why can't I login to the iCloud webpage to modify sharing from my phone?"
apple,negative,"Apparently fuzzball crashes on #iOS5. Congratulations @apple on another incompatible upgrade"
apple,irrelevant,"could @apple lion please integrate vertical spaces in mission control. this horizontal business is making me nauseous"
apple,negative,"Dear @apple: Why did all my PDFs and ePub files disappear from ibooks in my iPhone post ios5 upgrade? This hurts. #3GS #needsomethingtoread"
apple,negative,"\u201c@CBM: Lies @apple. the battery on this new iPhone4S is definitely not any better.\u201d &lt;&lt; check Settings: 8 times more App usage in iOS 5"
apple,positive,"As a huge podcast fan - I really feel like @Apple dropped the ball on this one. http://t.co/wvzPrbCI via @Carrypad"
apple,positive,"I don't really like Siri's voice. Perhaps @apple can get Star Wars voices just like @garmin http://t.co/pSUJg9pN"
apple,negative,"""I really hate dealing with the brain dead people at the @apple store. For such good products"
apple,negative,"""Updating to IOS5 with my regular iphone4 just made it slower and messed up.. @apple give me a free 4S and we can call it even"
apple,neutral,"should be studying/ doing work but no I'm hold with @apple HURRY THE FUCK UP! #nopatience"
apple,positive,"Ok Hindi keyboard in #iOS5 is something to cheer about.  But @apple  what about  support for 20+ missing Indian languages!? #FAIL"
apple,irrelevant,"""\""""Waiting for items to copy\"""" in Itunes after everything DID copy goes on"
apple,negative,"@Apple unhappy again with service/product quality. Won't buy @Apple again."
apple,positive,"""Been on hold with @apple customer service for 25 minutes. Wow"
apple,negative,"anyone else stuck in duped calendar/mail/battery sucking @apple hell? #iCloud and #OSX Lion are a disappointment"
apple,negative,"1st impressions  of #iOS5- Disappointed w upgrade restore. Lot of apps & folders missing @apple do  how much time went in2 orging it? #fail"
apple,negative,"@PrJusto Don't question the @Apple they will remember your dissent!"
apple,negative,"""@apple: Multiple times siri is \""""having trouble connecting to the network.\""""  Siri needs servers (and some exercise!)"""
apple,neutral,"RT @JimMcNiel: if @apple does not resolve the #Siri network issues they will need to rename a great product to Sorri - Who else is havin ..."
apple,negative,"Ugh. WTF is up with all the bottlenecks @paypal @apple?"
apple,irrelevant,"+1  RT @Doug_Newton: @apple PLEASE FIX #Siri!!!! She can't connect to your network!!!!!!!"
apple,irrelevant,"@apple PLEASE FIX #Siri!!!! She can't connect to your network!!!!!!!"
apple,neutral,"if @apple does not resolve the #Siri network issues they will need to rename a great product to Sorri - Who else is having issues?"
apple,neutral,"any chance @apple will release good headphones that dont blast music outside the ears? #iphone #ipod its quite obnoxious"
apple,irrelevant,"""@Apple - #Siri is not working due to \""""network problem\""""? Seriously? Can you fix this? #iPhone4s #Fail"""
apple,irrelevant,"""@electricsoup It has to connect to @Apple to process commands"
apple,irrelevant,"""Spoke to an @Apple rep on phone & could hear her tv blaring in the bg.  She said"
apple,irrelevant,"Ok this @Apple software update for the #iphone is taking waaaaay too long!\n#annoyed"
apple,positive,"@Apple would do better to inform customers properly about migrating to #iCloud - many complaints lead to #image damage http://t.co/QL7zmPpO"
apple,negative,"@apple does iOS 5 rape your battery life? or am I just using my phone a lot since getting it"
apple,irrelevant,"@BrianMincey @apple the chipsets tear through battery life. Coworker has a htc thunderbolt that he gets about 3 hours of life."
apple,irrelevant,"Just searching with my voice on my 2 year old nexus one @apple."
apple,irrelevant,"""@apple"
apple,irrelevant,"""Thanks to a 90 minute wait on hold"
apple,negative,"I am very upset about and inconvenienced by this iphone update failed backup. @iphone @apple"
apple,neutral,"Why book @Apple Genius Bar if after 2.5 hours you still can't be served. Disappointing Apple Store Sydney. #thanksfornothing"
apple,positive,"Apparently @Apple genius training doesn't extend to clocks & service. They're half an hour late for my appointment and couldn't let me know?"
apple,neutral,"Wow. iCloud's mail is down. 1st the iOS 5 upgrade issues and now this. I really hope this isn't @apple without Steve Jobs."
apple,negative,"@apple  why don't you guys test your upgrades before you put them out. 15 1/2 hrs u guys wasted of my time yesterday. Thanks."
apple,negative,"what is going on with all my @Apple products?! First my #iPad freezes (still is frozen) and then my #iPhone won't turn on!!! #techieTroubles"
apple,irrelevant,"#iPad in perpetual restore loop after trying to upgrade to #iOS5 :(\n@apple sux without steve"
apple,positive,"It took @apple about 7 years just to figure out how to properly syncronize an iPhone.  WOW!  #ios5"
apple,negative,"@apple So I went to the 5th Ave store and was told I could wait about 4 hours to get a 4S. Needless to say I'm back at the hotel relaxing."
apple,negative,"Terrible customer service at Los Gatos @Apple! Why do I have to pay $199 for a bad home button on my iPhone?!?"
apple,positive,"@Apple thank you for sucking so much. I cannot believe you would sell something online that isn't made"
apple,neutral,"Iphone 4s siri doesn't work for shit @apple"
apple,irrelevant,"""Clarence Thomas must have designed the new OSX lion"
apple,negative,"""RT @JDougyJ: hey @apple do you wanna fix my fucking playlist order"
apple,negative,"@Apple can suck my dick gotta restore my ipad #annoyed"
apple,irrelevant,"""Dear @Apple Contacts"
apple,negative,"""Is it too much to ask which app is incompatible"
apple,positive,"@NoVaTyler @apple Most of mine are gone too! Not recovered after I saved them b4 I upgraded my iPhone! Soooo pissed!"
apple,negative,"""hey @apple do you wanna fix my fucking playlist order"
apple,negative,"Siri is having a hard time remembering who my sister is. contact card needs space for family info. #iPhone4S @apple"
apple,negative,"""#ios5 getting sloppy @apple. U need to check your QA team. Too many issues with apps"
apple,negative,"RT @nansen: so this SMS full message is known @apple issue with new iOS5 update. trying restore. When all else #fail - restore."
apple,positive,"So glad that I paid $69 for this @apple care protection plan.  Been on hold for over 20 minutes now.  Great customer service. #NOT"
apple,positive,"not happy with @apple right now. the upgrade to my itouch4 took out my itouch and laptop. #help"
apple,negative,"@twitter can you look at problem on iPad where it won't open @ messages. It just crashes the app. You too @apple maybe your fault."
apple,irrelevant,"@apple What's the point of iCloud wireless updates when ios5 now forces me to use the computer to charge my ipod touch now? #worstupdateever"
apple,irrelevant,"Why is the new @apple iPhone OS duplicating all my iCal events? There's 2 of everything. How do I fix it? (tried turning iCloud off)"
apple,negative,"Hey @Apple...I know Steve Jobs died & all but my Twitter for iPad app keeps crashing...Fix it...NOW..please..lol -F.Light"
apple,positive,"Life was much easier when @apple and @BlackBerry were just fruits!"
apple,irrelevant,"""RT @MikeFerri: If @apple doesn't fix iOS5 this week"
apple,irrelevant,"""If @apple doesn't fix iOS5 this week"
apple,negative,"@apple pls launch #Siri on iphone4 .. Disappointed after spending hours for upgrading to iOS5.."
apple,negative,"@apple you can suck it you and your fucking iPhones better be glad it's all I like cause the service Is fucking terrible"
apple,negative,"""This is the first time I've been unhappy with any @apple product... Disappointed"
apple,irrelevant,"""After a week or so with @Apple's #iOS5 I'm considering going back to #jailbroken 4.2 - same features as 5"
apple,negative,"Had issues with #Siri reaching network today. Too many uses or my signal? @apple"
apple,negative,"The new iOS5 completely failed at upgrading the phone. Now I'm stuck in this restore loop. Thanks @apple for wasting my day. Can i undo?"
apple,negative,"Only thing #iOS.5 has done is deleted my tiger woods game and made impossible to retrieve. Thanks @Apple!"
apple,negative,"Damn you @apple for breaking wififofum! It continued to work in ios 4. Was one of my most used apps. Damn Apple's overbearing policies!"
apple,irrelevant,"""Dear @Apple"
apple,negative,"Dear @Apple: You must let me turn off iCloud to save bandwidth and NOT delete EVERY document on my iPad. That's BULLSHIT!"
apple,irrelevant,"""RT @JoelBurns: Dear @Apple"
apple,positive,"""RT @leiboaz: Wow"
apple,irrelevant,"""Wow"
apple,irrelevant,"""Hey guys at @Apple"
apple,positive,"@hbogo @apple - why don't you play nice and let me use HDMI from iPad?  Pretty lame."
apple,negative,"""Warning: if iphone apps spontaneously loose data"
apple,irrelevant,"""\u2026and only the first 23 images in my Photo Roll made it over? Seriously"
apple,irrelevant,"@apple why does #iPhone4 plus #iOS5 equal half the battery life?"
apple,positive,"Now @apple won't let me use credit on @iTunes unless I have a credit card. Should have told me when I redeemed the cards. Sound fair to you?"
apple,neutral,"need @apple help!! installing new ios on #iphone4 and am stuck on the Find My iPhone screen :( i keep clicking next but it doesn't work"
apple,irrelevant,"""Bummer that @Apple #iCloud syncs on Windows only w/ Outlook (not Thunderbird) & IE (not Firefox"
apple,irrelevant,"""Disappointing visual merchandising"
apple,neutral,"has been on terminal hold with @apple support!  She must not be the only person having trouble with the new iphone and synching!"
apple,negative,"@apple thanks apple for ios 5 and losing all my contacts!"
apple,irrelevant,"@apple give me my apps back!!!"
apple,irrelevant,"RT @tomcolontonio: Didn't it occur to @apple #apple that ppl share iTunes accounts amongst family's ?????\nWtf!!!!"
apple,irrelevant,"@tomcolontonio @apple #EPICFAIL"
apple,negative,"90 minutes after being at 100% my iPhone 4 (post #ios5 upgrade) has lost 40% of its charge and the @apple store folks are out of ideas."
apple,irrelevant,"""So \""""cutting the cord\"""" makes podcasts even harder to manage?!? No subscriptions! WTH"
apple,irrelevant,"""Also @EricGreenspan"
apple,irrelevant,"@apple cu"
apple,irrelevant,"""@apple"
apple,irrelevant,"@apple took my Siri and made it exclusive to iPhone 4S  #SoRude"
apple,irrelevant,"total time on the phone with @apple: 1 hour 27 minutes. let's see how this goes."
apple,irrelevant,"""Waited in line for nothing"
apple,positive,"It's been 24hrs since I reported @ups theft of my iPhone and @apple has done nothing. No return call as promised. Nothing."
apple,positive,"""This does not bode well. After charging all night"
apple,neutral,"Houston we have a problem!! My iPad has been restoring for 12+ hours after installing @apple IOS5. This can't be right...."
apple,negative,"#Siri went down for a little while last night. Come on @apple! Get your shit together on this launch!"
apple,positive,"@ford should have teamed up with @Apple instead of @microsoft to make this SYNC system in my new focus. \nCar is sweet SYNC is #EpicFail"
apple,irrelevant,"""RT @gdcurry: Really @Apple?  What have you done to my iTunes now?  I can't click on Music"
apple,irrelevant,"""Hey @apple"
apple,irrelevant,""".@Apple has a record quarter and because a bunch of professional guessers (aka analysts) wanted more"
apple,irrelevant,"""Interesting read on war b/w @Apple & @Samsung- http://t.co/Vt9d24Yi -using latter"
apple,irrelevant,"Today's headline: @apple reports lower 4Q earnings. Headline in 3 months: @Apple reports record Q1 earnings."
apple,irrelevant,"Is it JUST a coincidence that @Apple named their virtual assistant after Tom and Katie's robot daughter?"
apple,neutral,"Good or Bad results for @Apple ? Depends on who you ask apparently http://t.co/yDH8ffxE"
apple,negative,"Interesting times when increasing your revenue from $20B to $28B in a recession is considered a disappointment. @apple"
apple,positive,"""@Apple Would much rather get outta this having a ( see pic ) and have fun with this \"""" Have your friends choose music\"""" http://t.co/7IiHbr4J"""
apple,positive,"RT @CRMStrategies: Great Tech War of 2012 http://t.co/64jGRoBp @FastCompany profiles @Amazon @Apple @Google @Facebook on @CNBC /ht @phil ..."
apple,irrelevant,"@apple gonna see if anyone stayed logged into their fb or twitter #TroubleMaker"
apple,negative,"""If you've been struggling to get hold of me"
apple,irrelevant,"""Hey @Apple"
apple,positive,"Amazing story of @dropbox and @apple http://t.co/r4oDCwvY"
apple,irrelevant,"@Jake_Gyllenhaal So you've made up with @Apple?"
apple,irrelevant,"""@Apple to shut stores!!! C'mon"
apple,irrelevant,"@apple #readyfor5.0.1 http://t.co/M2FqakYr"
apple,irrelevant,"This is what I have been waiting for RT @Apple The last big project Steve Jobs was working on was the new cranial insertion device: iMplant."
apple,positive,"Apple Users Get The official Kalifornia Cavi App on your Apple Device now on  - powered by @Apple - Download it free http://t.co/HlGnvlRw"
apple,positive,"The official Kalifornia Cavi Mobil App is now available on the app store - powered by @Apple - Download it free http://t.co/HlGnvlRw"
apple,irrelevant,"""#Win an @Apple iPod Touch from @Mommy_gaga"
apple,irrelevant,"""Dear @motorola"
apple,irrelevant,"@apple Or @Microsoft Buying Out @RIM ?"
apple,irrelevant,"""#Win an @Apple iPod Touch from @Mommy_gaga"
apple,irrelevant,"""RT @jesperordrup: Hi @apple. Household has 4 iphones"
apple,irrelevant,"""Hi @apple. Household has 4 iphones"
apple,irrelevant,"#motoactiv? Methinks @apple and maybe @Nike are already prepping lawsuits"
apple,positive,"Check this video out -- moe. plays Live on iPads. Video dedicated in memory of #SteveJobs http://t.co/XSiyDnqu @ipad @mac @apple #brilliant"
apple,positive,"Bah! Genius BAR // RT @edatpost: .@Apple fan Eric Holder spotted at the Genius Store http://t.co/FTLttLPn"
apple,positive,"RT @edatpost: .@Apple fan Eric Holder spotted at the Genius Store http://t.co/OshPyV2G"
apple,positive,".@Apple fan Eric Holder spotted at the Genius Store http://t.co/FTLttLPn"
apple,positive,"@bidmyway I like your app for the @apple iPhone very simple and easy to use!"
apple,positive,"Noticed how @apple has added the like & tweet icons on their page? http://t.co/PZoNZeC8 #like #facebook #tweet"
apple,irrelevant,"@rtimbuc thx for publicly coming out out of the @Apple closet ... :)"
apple,negative,"@RIM to release new generation of phones in the new year to contend with @Apple... Hmmm."
apple,positive,"""These cos are worth billions: @Apple"
apple,positive,"I wonder If the person who has @apple is holding out for apple to buy it from them"
apple,irrelevant,"""The 'Great Tech War': @Apple"
